10000
35,78,14.32
3,67,8.991
33,73,10.54
74,74,0
74,84,5.897
96,54,14.48
55,85,8.791
6,19,6.423
42,6,8.982
100,67,9.168
45,30,6.063
98,67,11.91
57,67,9.519
33,76,4.732
28,28,0
64,64,0
32,95,14.81
91,46,14.72
90,90,0
26,73,5.692
67,67,0
64,35,12.47
47,55,14.44
49,67,13.81
27,75,5.391
70,86,3.478
67,57,9.519
45,45,0
33,6,14.93
98,100,11.54
82,38,11.4
88,88,0
52,41,6.531
63,48,7.411
43,82,9.886
57,98,8.533
25,19,10.1
56,56,0
34,76,9.11
12,56,10.67
89,89,0
85,5,14.6
31,40,12.47
76,10,14.21
31,31,0
93,71,8.276
3,52,8.418
50,94,11.43
25,34,13.11
100,98,11.54
95,95,0
40,75,10.85
15,15,0
78,78,0
49,27,4.286
53,65,13.97
78,35,14.32
42,93,6.103
37,80,5.87
29,27,9.598
34,42,13.74
90,78,10.29
36,63,3.665
69,92,8.973
38,47,14.91
37,82,10.73
26,69,14.35
97,2,10.71
8,8,0
100,3,6.731
35,71,8.497
38,82,11.4
99,59,13.69
7,68,12.56
43,2,9.625
35,35,0
31,3,14.98
94,52,10.35
35,78,14.32
39,13,13.97
37,97,12.12
54,96,14.48
82,38,11.4
13,13,0
30,96,14.71
93,45,12.63
68,90,4.335
3,31,14.98
37,2,3.873
97,11,11.47
98,67,11.91
70,42,13.95
24,85,1.033
59,78,14.76
92,87,13.96
21,89,12.66
95,32,14.81
18,59,4.174
81,44,13.59
15,47,9.438
96,64,14.05
98,57,8.533
39,9,10.29
19,71,11.55
21,18,10.87
69,73,10.9
7,53,8.224
97,72,7.978
33,87,10.64
67,40,8.189
3,49,10.97
52,3,8.418
50,98,5.149
23,81,14.01
40,29,10.81
92,87,13.96
68,7,12.56
60,60,0
28,91,11.91
24,85,1.033
80,39,14.81
11,13,12.87
2,2,0
11,11,0
14,44,14.2
59,78,14.76
30,54,9.412
42,42,0
33,87,10.64
69,10,9.753
64,30,8.245
57,98,8.533
95,66,14.62
86,86,0
13,9,3.72
53,65,13.97
67,31,6.019
12,86,8.046
79,84,7.989
60,75,5.701
66,43,11.45
57,57,0
53,53,0
6,19,6.423
36,63,3.665
41,41,0
2,37,3.873
32,32,0
95,32,14.81
43,14,14.54
58,52,1.239
70,70,0
82,2,11.26
52,94,10.35
12,12,0
37,97,12.12
87,26,12.63
81,23,14.01
50,57,9.759
95,32,14.81
44,81,13.59
79,74,3.413
51,77,9.668
15,47,9.438
35,78,14.32
3,29,13.27
76,25,6.892
19,44,11.48
42,42,0
78,68,11.66
18,68,11.01
68,7,12.56
3,49,10.97
82,24,10.03
38,82,11.4
24,82,10.03
81,81,0
27,67,14.04
54,96,14.48
61,77,10.99
45,64,4.987
93,6,7.908
72,11,9.268
97,11,11.47
51,77,9.668
4,26,11.34
41,98,12.89
40,75,10.85
9,97,6.281
97,13,5.764
22,4,7.52
23,81,14.01
87,26,12.63
100,40,12.7
30,96,14.71
49,49,0
32,23,12.8
83,83,0
80,43,11.83
12,34,9.569
10,73,12.01
9,97,6.281
42,19,10.55
7,78,5.364
26,26,0
42,86,12.04
71,35,8.497
2,43,9.625
34,70,7.274
5,38,11.03
49,67,13.81
26,22,12.58
29,29,0
5,17,6.317
45,30,6.063
47,43,5.011
58,3,9.555
83,71,13.66
4,16,4.893
83,35,10.02
86,76,13.29
21,89,12.66
55,38,7.323
60,29,2.329
3,27,13.86
31,3,14.98
54,52,8.233
30,42,7.827
76,10,14.21
6,42,8.982
67,27,14.04
50,57,9.759
19,42,10.55
10,87,5.502
92,69,8.973
47,80,12.53
30,30,0
71,93,8.276
88,63,9.108
52,94,10.35
28,46,6.508
32,81,9.093
26,26,0
44,32,9.183
65,53,13.97
42,30,7.827
25,25,0
94,58,10.36
95,95,0
10,10,0
85,80,14.83
49,40,5.639
50,50,0
13,72,4.847
9,72,8.564
38,47,14.91
29,60,2.329
72,13,4.847
50,31,14.94
43,37,6.007
78,78,0
9,80,13.55
63,36,3.665
66,95,14.62
45,96,10.1
32,32,0
100,54,12.91
59,78,14.76
100,67,9.168
31,31,0
14,43,14.54
47,2,10.09
6,6,0
2,97,10.71
80,47,12.53
95,95,0
12,86,8.046
9,80,13.55
49,27,4.286
2,47,10.09
81,81,0
25,93,14.42
24,2,14.26
73,73,0
42,64,7.496
92,69,8.973
75,75,0
5,5,0
100,41,8.299
26,26,0
68,53,14.87
35,45,14.22
3,100,6.731
21,21,0
86,42,12.04
57,57,0
48,63,7.411
80,85,14.83
22,22,0
91,91,0
40,49,5.639
73,26,5.692
42,6,8.982
42,6,8.982
18,78,12.31
46,65,10.73
94,94,0
81,95,5.725
6,33,14.93
86,42,12.04
2,85,14.06
80,80,0
48,88,11.25
68,96,8.873
75,29,6.77
6,70,14.87
56,29,12.21
66,47,13.18
73,26,5.692
19,44,11.48
3,58,9.555
70,86,3.478
25,25,0
83,35,10.02
92,69,8.973
53,7,8.224
35,83,10.02
73,26,5.692
13,9,3.72
20,56,13.74
44,25,11.1
2,43,9.625
40,3,7.351
6,70,14.87
70,12,5.937
20,20,0
