1,0.972,37.08,1,0.972,37.08
5,7.419,57.09,62,15,45.81
6,65.78,57.3,19,59.36,57.01
19,59.36,57.01,71,53.28,47.19
24,11.26,70.39,38,18.44,57.54
25,65.39,65.12,19,59.36,57.01
28,17.56,45.6,91,6.481,41.23
32,56.06,76.48,25,65.39,65.12
33,76.51,67.69,25,65.39,65.12
34,75.84,57.22,25,65.39,65.12
35,47.25,41.2,83,39.63,47.7
38,18.44,57.54,62,15,45.81
42,65.37,48.33,71,53.28,47.19
44,54.53,67.43,19,59.36,57.01
45,61.32,39.07,71,53.28,47.19
46,21.16,40.18,91,6.481,41.23
47,25.79,70.51,38,18.44,57.54
53,40.49,26.85,65,31.58,37.61
55,13.49,62.94,38,18.44,57.54
62,15,45.81,91,6.481,41.23
64,59.47,43.7,71,53.28,47.19
65,31.58,37.61,46,21.16,40.18
71,53.28,47.19,83,39.63,47.7
76,72.27,65.59,25,65.39,65.12
82,21.14,68.61,38,18.44,57.54
83,39.63,47.7,65,31.58,37.61
91,6.481,41.23,1,0.972,37.08
93,60.25,51.65,71,53.28,47.19
